smarts	smarts_inner_marked	smarts_marked_oxygen
[#6]1[#6][#6][#6][#6][#6]12[#6][#8][#6]2	[#6]1[#6][#6][#6][#6][#6]12[#6:2][#8][#6]2	[#6]2([#6]1([#6][#6][#6][#6][#6]1)[#6](#[#8])[#8]2)
[#6]1[#6][#6][#6][#6][#6]12[#6][#8][#6]2	[#6]1[#6][#6][#6][#6][#6]12[#6][#8][#6:2]2	[#6]2([#6]1([#6][#6][#6][#6][#6]1)[#6](#[#8])[#8]2)
[#6]1[#6][#6][#6][#8][#6]12[#6][#16][#6]2	[#6:2]1[#6][#6][#6][#8][#6]12[#6][#16][#6]2	[#6]2([#6][#6][#6]([#6]1([#6][#16][#6]1)[#8]2)#[#8])
[#6]1[#6][#6][#6][#8][#6]12[#6][#16][#6]2	[#6]1[#6:2][#6][#6][#8][#6]12[#6][#16][#6]2	[#6]2([#6][#6]([#6][#6]1([#6][#16][#6]1)[#8]2)#[#8])
[#6]1[#6][#6][#6][#8][#6]12[#6][#16][#6]2	[#6]1[#6][#6:2][#6][#8][#6]12[#6][#16][#6]2	[#6]2([#6]([#6][#6][#6]1([#6][#16][#6]1)[#8]2)#[#8])
[#6]1[#6][#6][#6][#8][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#6:2][#8][#6]12[#6][#16][#6]2	[#6]2([#6][#6][#6][#6]1([#6][#16][#6]1)[#8]2)#[#8]
[#6]1[#6][#6][#6][#8][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#6][#8][#6]12[#6:2][#16][#6]2	[#6]2([#6][#6][#6][#6]1([#6]([#16][#6]1)#[#8])[#8]2)
[#6]1[#6][#6][#6][#8][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#6][#8][#6]12[#6][#16:2][#6]2	[#6]2([#6][#6][#6][#6]1([#6][#16]([#6]1)#[#8])[#8]2)
[#6]1[#6][#6][#6][#8][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#6][#8][#6]12[#6][#16][#6:2]2	[#6]2([#6][#6][#6][#6]1([#6]([#16][#6]1)#[#8])[#8]2)
[#6]1[#6][#6][#6][#16][#6]12[#6][#16][#6]2	[#6:2]1[#6][#6][#6][#16][#6]12[#6][#16][#6]2	[#6]2([#6][#6][#6]([#6]1([#6][#16][#6]1)[#16]2)#[#8])
[#6]1[#6][#6][#6][#16][#6]12[#6][#16][#6]2	[#6]1[#6:2][#6][#6][#16][#6]12[#6][#16][#6]2	[#6]2([#6][#6]([#6][#6]1([#6][#16][#6]1)[#16]2)#[#8])
[#6]1[#6][#6][#6][#16][#6]12[#6][#16][#6]2	[#6]1[#6][#6:2][#6][#16][#6]12[#6][#16][#6]2	[#6]2([#6]([#6][#6][#6]1([#6][#16][#6]1)[#16]2)#[#8])
[#6]1[#6][#6][#6][#16][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#6:2][#16][#6]12[#6][#16][#6]2	[#6]2([#6][#6][#6][#6]1([#6][#16][#6]1)[#16]2)#[#8]
[#6]1[#6][#6][#6][#16][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#6][#16:2][#6]12[#6][#16][#6]2	[#6]2([#6][#6][#6][#6]1([#6][#16][#6]1)[#16]2#[#8])
[#6]1[#6][#6][#6][#16][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#6][#16][#6]12[#6:2][#16][#6]2	[#6]2([#6]1([#6][#6][#6][#6][#16]1)[#6]([#16]2)#[#8])
[#6]1[#6][#6][#6][#16][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#6][#16][#6]12[#6][#16:2][#6]2	[#6]2([#6]1([#6][#6][#6][#6][#16]1)[#6][#16]2#[#8])
[#6]1[#6][#6][#6][#16][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#6][#16][#6]12[#6][#16][#6:2]2	[#6]2([#6]1([#6][#6][#6][#6][#16]1)[#6]([#16]2)#[#8])
[#6]1[#6][#6][#6][#7][#6]12[#6][#16][#6]2	[#6:2]1[#6][#6][#6][#7][#6]12[#6][#16][#6]2	[#6]2([#6][#6][#6]([#6]1([#6][#16][#6]1)[#7]2)#[#8])
[#6]1[#6][#6][#6][#7][#6]12[#6][#16][#6]2	[#6]1[#6:2][#6][#6][#7][#6]12[#6][#16][#6]2	[#6]2([#6][#6]([#6][#6]1([#6][#16][#6]1)[#7]2)#[#8])
[#6]1[#6][#6][#6][#7][#6]12[#6][#16][#6]2	[#6]1[#6][#6:2][#6][#7][#6]12[#6][#16][#6]2	[#6]2([#6]([#6][#6][#6]1([#6][#16][#6]1)[#7]2)#[#8])
[#6]1[#6][#6][#6][#7][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#6:2][#7][#6]12[#6][#16][#6]2	[#6]2([#6][#6][#6][#6]1([#6][#16][#6]1)[#7]2)#[#8]
[#6]1[#6][#6][#6][#7][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#6][#7:2][#6]12[#6][#16][#6]2	[#6]2([#6][#6][#6][#6]1([#6][#16][#6]1)[#7]2#[#8])
[#6]1[#6][#6][#6][#7][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#6][#7][#6]12[#6:2][#16][#6]2	[#6]2([#6][#6][#6][#6]1([#6]([#16][#6]1)#[#8])[#7]2)
[#6]1[#6][#6][#6][#7][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#6][#7][#6]12[#6][#16:2][#6]2	[#6]2([#6][#6][#6][#6]1([#6][#16]([#6]1)#[#8])[#7]2)
[#6]1[#6][#6][#6][#7][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#6][#7][#6]12[#6][#16][#6:2]2	[#6]2([#6][#6][#6][#6]1([#6]([#16][#6]1)#[#8])[#7]2)
[#6]1[#6][#6][#8][#6][#6]12[#6][#16][#6]2	[#6:2]1[#6][#6][#8][#6][#6]12[#6][#16][#6]2	[#6]2([#6][#6]([#6]1([#6][#16][#6]1)[#6][#8]2)#[#8])
[#6]1[#6][#6][#8][#6][#6]12[#6][#16][#6]2	[#6]1[#6:2][#6][#8][#6][#6]12[#6][#16][#6]2	[#6]2([#6]([#6][#6]1([#6][#16][#6]1)[#6][#8]2)#[#8])
[#6]1[#6][#6][#8][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#6:2][#8][#6][#6]12[#6][#16][#6]2	[#6]2([#6][#6][#6]1([#6][#16][#6]1)[#6][#8]2)#[#8]
[#6]1[#6][#6][#8][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#8][#6:2][#6]12[#6][#16][#6]2	[#6]2([#6][#6][#6]1([#6][#16][#6]1)[#6](#[#8])[#8]2)
[#6]1[#6][#6][#8][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#8][#6][#6]12[#6:2][#16][#6]2	[#6]2([#6][#6][#6]1([#6]([#16][#6]1)#[#8])[#6][#8]2)
[#6]1[#6][#6][#8][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#8][#6][#6]12[#6][#16:2][#6]2	[#6]2([#6][#6][#6]1([#6][#16]([#6]1)#[#8])[#6][#8]2)
[#6]1[#6][#6][#8][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#8][#6][#6]12[#6][#16][#6:2]2	[#6]2([#6][#6][#6]1([#6]([#16][#6]1)#[#8])[#6][#8]2)
[#6]1[#6][#6][#16][#6][#6]12[#6][#16][#6]2	[#6:2]1[#6][#6][#16][#6][#6]12[#6][#16][#6]2	[#6]2([#6][#6]([#6]1([#6][#16][#6]1)[#6][#16]2)#[#8])
[#6]1[#6][#6][#16][#6][#6]12[#6][#16][#6]2	[#6]1[#6:2][#6][#16][#6][#6]12[#6][#16][#6]2	[#6]2([#6]([#6][#6]1([#6][#16][#6]1)[#6][#16]2)#[#8])
[#6]1[#6][#6][#16][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#6:2][#16][#6][#6]12[#6][#16][#6]2	[#6]2([#6][#6][#6]1([#6][#16][#6]1)[#6][#16]2)#[#8]
[#6]1[#6][#6][#16][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#16:2][#6][#6]12[#6][#16][#6]2	[#6]2([#6][#6][#6]1([#6][#16][#6]1)[#6][#16]2#[#8])
[#6]1[#6][#6][#16][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#16][#6:2][#6]12[#6][#16][#6]2	[#6]2([#6][#6][#6]1([#6][#16][#6]1)[#6]([#16]2)#[#8])
[#6]1[#6][#6][#16][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#16][#6][#6]12[#6:2][#16][#6]2	[#6]2([#6]1([#6][#6][#6][#16][#6]1)[#6]([#16]2)#[#8])
[#6]1[#6][#6][#16][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#16][#6][#6]12[#6][#16:2][#6]2	[#6]2([#6]1([#6][#6][#6][#16][#6]1)[#6][#16]2#[#8])
[#6]1[#6][#6][#16][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#16][#6][#6]12[#6][#16][#6:2]2	[#6]2([#6]1([#6][#6][#6][#16][#6]1)[#6]([#16]2)#[#8])
[#6]1[#6][#6][#7][#6][#6]12[#6][#16][#6]2	[#6:2]1[#6][#6][#7][#6][#6]12[#6][#16][#6]2	[#6]2([#6][#6]([#6]1([#6][#16][#6]1)[#6][#7]2)#[#8])
[#6]1[#6][#6][#7][#6][#6]12[#6][#16][#6]2	[#6]1[#6:2][#6][#7][#6][#6]12[#6][#16][#6]2	[#6]2([#6]([#6][#6]1([#6][#16][#6]1)[#6][#7]2)#[#8])
[#6]1[#6][#6][#7][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#6:2][#7][#6][#6]12[#6][#16][#6]2	[#6]2([#6][#6][#6]1([#6][#16][#6]1)[#6][#7]2)#[#8]
[#6]1[#6][#6][#7][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#7:2][#6][#6]12[#6][#16][#6]2	[#6]2([#6][#6][#6]1([#6][#16][#6]1)[#6][#7]2#[#8])
[#6]1[#6][#6][#7][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#7][#6:2][#6]12[#6][#16][#6]2	[#6]2([#6][#6][#6]1([#6][#16][#6]1)[#6]([#7]2)#[#8])
[#6]1[#6][#6][#7][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#7][#6][#6]12[#6:2][#16][#6]2	[#6]2([#6][#6][#6]1([#6]([#16][#6]1)#[#8])[#6][#7]2)
[#6]1[#6][#6][#7][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#7][#6][#6]12[#6][#16:2][#6]2	[#6]2([#6][#6][#6]1([#6][#16]([#6]1)#[#8])[#6][#7]2)
[#6]1[#6][#6][#7][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#7][#6][#6]12[#6][#16][#6:2]2	[#6]2([#6][#6][#6]1([#6]([#16][#6]1)#[#8])[#6][#7]2)
[#6]1[#6][#8][#6][#6][#6]12[#6][#16][#6]2	[#6:2]1[#6][#8][#6][#6][#6]12[#6][#16][#6]2	[#6]1([#6]([#6]2([#6][#6][#8]1)([#6][#16][#6]2))#[#8])
[#6]1[#6][#8][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6:2][#8][#6][#6][#6]12[#6][#16][#6]2	[#6]1([#6][#6]2([#6][#6](#[#8])[#8]1)([#6][#16][#6]2))
[#6]1[#6][#8][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#8][#6:2][#6][#6]12[#6][#16][#6]2	[#6]1([#6][#6]2([#6][#6](#[#8])[#8]1)([#6][#16][#6]2))
[#6]1[#6][#8][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#8][#6][#6:2][#6]12[#6][#16][#6]2	[#6]1([#6]([#6]2([#6][#6][#8]1)([#6][#16][#6]2))#[#8])
[#6]1[#6][#8][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#8][#6][#6][#6]12[#6:2][#16][#6]2	[#6]1([#6][#6]2([#6][#6][#8]1)([#6]([#16][#6]2)#[#8]))
[#6]1[#6][#8][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#8][#6][#6][#6]12[#6][#16:2][#6]2	[#6]1([#6][#6]2([#6][#6][#8]1)([#6][#16]([#6]2)#[#8]))
[#6]1[#6][#8][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#8][#6][#6][#6]12[#6][#16][#6:2]2	[#6]1([#6][#6]2([#6][#6][#8]1)([#6]([#16][#6]2)#[#8]))
[#6]1[#6][#16][#6][#6][#6]12[#6][#16][#6]2	[#6:2]1[#6][#16][#6][#6][#6]12[#6][#16][#6]2	[#6]1([#6]([#6]2([#6][#6][#16]1)([#6][#16][#6]2))#[#8])
[#6]1[#6][#16][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6:2][#16][#6][#6][#6]12[#6][#16][#6]2	[#6]1([#6][#6]2([#6][#6][#16]1)([#6][#16][#6]2))#[#8]
[#6]1[#6][#16][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#16:2][#6][#6][#6]12[#6][#16][#6]2	[#6]1([#6][#6]2([#6][#6][#16]1#[#8])([#6][#16][#6]2))
[#6]1[#6][#16][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#16][#6:2][#6][#6]12[#6][#16][#6]2	[#6]1([#6][#6]2([#6][#6][#16]1)([#6][#16][#6]2))#[#8]
[#6]1[#6][#16][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#16][#6][#6:2][#6]12[#6][#16][#6]2	[#6]1([#6]([#6]2([#6][#6][#16]1)([#6][#16][#6]2))#[#8])
[#6]1[#6][#16][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#16][#6][#6][#6]12[#6:2][#16][#6]2	[#6]1([#6][#6]2([#6][#6][#16]1)([#6]([#16][#6]2)#[#8]))
[#6]1[#6][#16][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#16][#6][#6][#6]12[#6][#16:2][#6]2	[#6]1([#6][#6]2([#6][#6][#16]1)([#6][#16]([#6]2)#[#8]))
[#6]1[#6][#16][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#16][#6][#6][#6]12[#6][#16][#6:2]2	[#6]1([#6][#6]2([#6][#6][#16]1)([#6]([#16][#6]2)#[#8]))
[#6]1[#6][#7][#6][#6][#6]12[#6][#16][#6]2	[#6:2]1[#6][#7][#6][#6][#6]12[#6][#16][#6]2	[#6]1([#6]([#6]2([#6][#6][#7]1)([#6][#16][#6]2))#[#8])
[#6]1[#6][#7][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6:2][#7][#6][#6][#6]12[#6][#16][#6]2	[#6]1([#6][#6]2([#6][#6][#7]1)([#6][#16][#6]2))#[#8]
[#6]1[#6][#7][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#7:2][#6][#6][#6]12[#6][#16][#6]2	[#6]1([#6][#6]2([#6][#6][#7]1#[#8])([#6][#16][#6]2))
[#6]1[#6][#7][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#7][#6:2][#6][#6]12[#6][#16][#6]2	[#6]1([#6][#6]2([#6][#6][#7]1)([#6][#16][#6]2))#[#8]
[#6]1[#6][#7][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#7][#6][#6:2][#6]12[#6][#16][#6]2	[#6]1([#6]([#6]2([#6][#6][#7]1)([#6][#16][#6]2))#[#8])
[#6]1[#6][#7][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#7][#6][#6][#6]12[#6:2][#16][#6]2	[#6]1([#6][#6]2([#6][#6][#7]1)([#6]([#16][#6]2)#[#8]))
[#6]1[#6][#7][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#7][#6][#6][#6]12[#6][#16:2][#6]2	[#6]1([#6][#6]2([#6][#6][#7]1)([#6][#16]([#6]2)#[#8]))
[#6]1[#6][#7][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#7][#6][#6][#6]12[#6][#16][#6:2]2	[#6]1([#6][#6]2([#6][#6][#7]1)([#6]([#16][#6]2)#[#8]))
[#6]1[#6][#6][#6][#6][#6]12[#6][#16][#6]2	[#6:2]1[#6][#6][#6][#6][#6]12[#6][#16][#6]2	[#6]1([#6]([#6]2([#6][#6][#6]1)([#6][#16][#6]2))#[#8])
[#6]1[#6][#6][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6:2][#6][#6][#6][#6]12[#6][#16][#6]2	[#6]1([#6]([#6][#6]2([#6][#6]1)([#6][#16][#6]2))#[#8])
[#6]1[#6][#6][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#6:2][#6][#6][#6]12[#6][#16][#6]2	[#6]1([#6]([#6][#6][#6]2([#6]1)([#6][#16][#6]2))#[#8])
[#6]1[#6][#6][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#6:2][#6][#6]12[#6][#16][#6]2	[#6]1([#6]([#6][#6]2([#6][#6]1)([#6][#16][#6]2))#[#8])
[#6]1[#6][#6][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#6][#6:2][#6]12[#6][#16][#6]2	[#6]1([#6]([#6]2([#6][#6][#6]1)([#6][#16][#6]2))#[#8])
[#6]1[#6][#6][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#6][#6][#6]12[#6:2][#16][#6]2	[#6]2([#6]1([#6][#6][#6][#6][#6]1)[#6]([#16]2)#[#8])
[#6]1[#6][#6][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#6][#6][#6]12[#6][#16:2][#6]2	[#6]2([#6]1([#6][#6][#6][#6][#6]1)[#6][#16]2#[#8])
[#6]1[#6][#6][#6][#6][#6]12[#6][#16][#6]2	[#6]1[#6][#6][#6][#6][#6]12[#6][#16][#6:2]2	[#6]2([#6]1([#6][#6][#6][#6][#6]1)[#6]([#16]2)#[#8])
[#8]1[#6][#6][#6]12[#6][#16][#6][#6]2	[#8]1[#6:2][#6][#6]12[#6][#16][#6][#6]2	[#6]2([#6][#6]1([#6][#6][#16][#6]1)[#8]2)#[#8]
[#8]1[#6][#6][#6]12[#6][#16][#6][#6]2	[#8]1[#6][#6:2][#6]12[#6][#16][#6][#6]2	[#6]2([#6]([#6]1([#6][#6][#16][#6]1)[#8]2)#[#8])
[#8]1[#6][#6][#6]12[#6][#16][#6][#6]2	[#8]1[#6][#6][#6]12[#6:2][#16][#6][#6]2	[#6]2([#6][#6]1([#6][#6][#16][#6]1#[#8])[#8]2)
[#8]1[#6][#6][#6]12[#6][#16][#6][#6]2	[#8]1[#6][#6][#6]12[#6][#16:2][#6][#6]2	[#6]2([#6][#6]1([#6][#6][#16]([#6]1)#[#8])[#8]2)
[#8]1[#6][#6][#6]12[#6][#16][#6][#6]2	[#8]1[#6][#6][#6]12[#6][#16][#6:2][#6]2	[#6]2([#6][#6]1([#6][#6]([#16][#6]1)#[#8])[#8]2)
[#8]1[#6][#6][#6]12[#6][#16][#6][#6]2	[#8]1[#6][#6][#6]12[#6][#16][#6][#6:2]2	[#6]2([#6][#6]1([#6]([#6][#16][#6]1)#[#8])[#8]2)
[#8]1[#6][#6][#6]12[#6][#7][#6][#6]2	[#8]1[#6:2][#6][#6]12[#6][#7][#6][#6]2	[#6]2([#6][#6]1([#6][#6][#7][#6]1)[#8]2)#[#8]
[#8]1[#6][#6][#6]12[#6][#7][#6][#6]2	[#8]1[#6][#6:2][#6]12[#6][#7][#6][#6]2	[#6]2([#6]([#6]1([#6][#6][#7][#6]1)[#8]2)#[#8])
[#8]1[#6][#6][#6]12[#6][#7][#6][#6]2	[#8]1[#6][#6][#6]12[#6:2][#7][#6][#6]2	[#6]2([#6][#6]1([#6][#6][#7][#6]1#[#8])[#8]2)
[#8]1[#6][#6][#6]12[#6][#7][#6][#6]2	[#8]1[#6][#6][#6]12[#6][#7:2][#6][#6]2	[#6]2([#6][#6]1([#6][#6][#7]([#6]1)#[#8])[#8]2)
[#8]1[#6][#6][#6]12[#6][#7][#6][#6]2	[#8]1[#6][#6][#6]12[#6][#7][#6:2][#6]2	[#6]2([#6][#6]1([#6][#6]([#7][#6]1)#[#8])[#8]2)
[#8]1[#6][#6][#6]12[#6][#7][#6][#6]2	[#8]1[#6][#6][#6]12[#6][#7][#6][#6:2]2	[#6]2([#6][#6]1([#6]([#6][#7][#6]1)#[#8])[#8]2)
[#8]1[#6][#6][#6]12[#8][#6][#6][#6]2	[#8]1[#6:2][#6][#6]12[#8][#6][#6][#6]2	[#6]2([#6][#6][#6]1([#6][#6](#[#8])[#8]1)[#8]2)
[#8]1[#6][#6][#6]12[#8][#6][#6][#6]2	[#8]1[#6][#6:2][#6]12[#8][#6][#6][#6]2	[#6]2([#6][#6][#6]1([#6]([#6][#8]1)#[#8])[#8]2)
[#8]1[#6][#6][#6]12[#8][#6][#6][#6]2	[#8]1[#6][#6][#6]12[#8][#6:2][#6][#6]2	[#6]2([#6][#6]1([#6][#6][#6](#[#8])[#8]1)[#8]2)
[#8]1[#6][#6][#6]12[#8][#6][#6][#6]2	[#8]1[#6][#6][#6]12[#8][#6][#6:2][#6]2	[#6]2([#6][#6]1([#6][#6]([#6][#8]1)#[#8])[#8]2)
[#8]1[#6][#6][#6]12[#8][#6][#6][#6]2	[#8]1[#6][#6][#6]12[#8][#6][#6][#6:2]2	[#6]2([#6][#6]1([#6]([#6][#6][#8]1)#[#8])[#8]2)
[#8]1[#6][#6][#6]12[#16][#6][#6][#6]2	[#8]1[#6:2][#6][#6]12[#16][#6][#6][#6]2	[#6]2([#6][#6]1([#6][#6][#6][#16]1)[#8]2)#[#8]
[#8]1[#6][#6][#6]12[#16][#6][#6][#6]2	[#8]1[#6][#6:2][#6]12[#16][#6][#6][#6]2	[#6]2([#6]([#6]1([#6][#6][#6][#16]1)[#8]2)#[#8])
[#8]1[#6][#6][#6]12[#16][#6][#6][#6]2	[#8]1[#6][#6][#6]12[#16:2][#6][#6][#6]2	[#6]2([#6][#6]1([#6][#6][#6][#16]1#[#8])[#8]2)
[#8]1[#6][#6][#6]12[#16][#6][#6][#6]2	[#8]1[#6][#6][#6]12[#16][#6:2][#6][#6]2	[#6]2([#6][#6]1([#6][#6][#6]([#16]1)#[#8])[#8]2)
[#8]1[#6][#6][#6]12[#16][#6][#6][#6]2	[#8]1[#6][#6][#6]12[#16][#6][#6:2][#6]2	[#6]2([#6][#6]1([#6][#6]([#6][#16]1)#[#8])[#8]2)
[#8]1[#6][#6][#6]12[#16][#6][#6][#6]2	[#8]1[#6][#6][#6]12[#16][#6][#6][#6:2]2	[#6]2([#6][#6]1([#6]([#6][#6][#16]1)#[#8])[#8]2)
[#8]1[#6][#6][#6]12[#7][#6][#6][#6]2	[#8]1[#6:2][#6][#6]12[#7][#6][#6][#6]2	[#6]2([#6][#6]1([#6][#6][#6][#7]1)[#8]2)#[#8]
[#8]1[#6][#6][#6]12[#7][#6][#6][#6]2	[#8]1[#6][#6:2][#6]12[#7][#6][#6][#6]2	[#6]2([#6]([#6]1([#6][#6][#6][#7]1)[#8]2)#[#8])
[#8]1[#6][#6][#6]12[#7][#6][#6][#6]2	[#8]1[#6][#6][#6]12[#7:2][#6][#6][#6]2	[#6]2([#6][#6]1([#6][#6][#6][#7]1#[#8])[#8]2)
[#8]1[#6][#6][#6]12[#7][#6][#6][#6]2	[#8]1[#6][#6][#6]12[#7][#6:2][#6][#6]2	[#6]2([#6][#6]1([#6][#6][#6]([#7]1)#[#8])[#8]2)
[#8]1[#6][#6][#6]12[#7][#6][#6][#6]2	[#8]1[#6][#6][#6]12[#7][#6][#6:2][#6]2	[#6]2([#6][#6]1([#6][#6]([#6][#7]1)#[#8])[#8]2)
[#8]1[#6][#6][#6]12[#7][#6][#6][#6]2	[#8]1[#6][#6][#6]12[#7][#6][#6][#6:2]2	[#6]2([#6][#6]1([#6]([#6][#6][#7]1)#[#8])[#8]2)
[#8]1[#6][#6][#6]12[#6][#6][#6][#6]2	[#8]1[#6:2][#6][#6]12[#6][#6][#6][#6]2	[#6]1([#6]2([#6][#6][#6]1)([#6][#6](#[#8])[#8]2))
[#8]1[#6][#6][#6]12[#6][#6][#6][#6]2	[#8]1[#6][#6:2][#6]12[#6][#6][#6][#6]2	[#6]1([#6]2([#6][#6][#6]1)([#6]([#6][#8]2)#[#8]))
[#8]1[#6][#6][#6]12[#6][#6][#6][#6]2	[#8]1[#6][#6][#6]12[#6:2][#6][#6][#6]2	[#6]2([#6][#6]1([#6]([#6][#6][#6]1)#[#8])[#8]2)
[#8]1[#6][#6][#6]12[#6][#6][#6][#6]2	[#8]1[#6][#6][#6]12[#6][#6:2][#6][#6]2	[#6]2([#6][#6]1([#6][#6]([#6][#6]1)#[#8])[#8]2)
[#8]1[#6][#6][#6]12[#6][#6][#6][#6]2	[#8]1[#6][#6][#6]12[#6][#6][#6:2][#6]2	[#6]2([#6][#6]1([#6][#6]([#6][#6]1)#[#8])[#8]2)
[#8]1[#6][#6][#6]12[#6][#6][#6][#6]2	[#8]1[#6][#6][#6]12[#6][#6][#6][#6:2]2	[#6]2([#6][#6]1([#6]([#6][#6][#6]1)#[#8])[#8]2)
[#6]1[#6][#6][#6][#8][#6]12[#6][#8][#6]2	[#6:2]1[#6][#6][#6][#8][#6]12[#6][#8][#6]2	[#6]2([#6][#6][#6]([#6]1([#6][#8][#6]1)[#8]2)#[#8])
[#6]1[#6][#6][#6][#8][#6]12[#6][#8][#6]2	[#6]1[#6:2][#6][#6][#8][#6]12[#6][#8][#6]2	[#6]2([#6][#6]([#6][#6]1([#6][#8][#6]1)[#8]2)#[#8])
[#6]1[#6][#6][#6][#8][#6]12[#6][#8][#6]2	[#6]1[#6][#6:2][#6][#8][#6]12[#6][#8][#6]2	[#6]2([#6]([#6][#6][#6]1([#6][#8][#6]1)[#8]2)#[#8])
[#6]1[#6][#6][#6][#8][#6]12[#6][#8][#6]2	[#6]1[#6][#6][#6:2][#8][#6]12[#6][#8][#6]2	[#6]2([#6]1([#6][#6][#6][#6](#[#8])[#8]1)[#6][#8]2)
[#6]1[#6][#6][#6][#8][#6]12[#6][#8][#6]2	[#6]1[#6][#6][#6][#8][#6]12[#6:2][#8][#6]2	[#6]2([#6][#6][#6][#6]1([#6](#[#8])[#8][#6]1)[#8]2)
[#6]1[#6][#6][#6][#8][#6]12[#6][#8][#6]2	[#6]1[#6][#6][#6][#8][#6]12[#6][#8][#6:2]2	[#6]2([#6][#6][#6][#6]1([#6](#[#8])[#8][#6]1)[#8]2)
[#6]1[#6][#6][#6][#16][#6]12[#6][#8][#6]2	[#6:2]1[#6][#6][#6][#16][#6]12[#6][#8][#6]2	[#6]2([#6]1([#6]([#6][#6][#6][#16]1)#[#8])[#6][#8]2)
[#6]1[#6][#6][#6][#16][#6]12[#6][#8][#6]2	[#6]1[#6:2][#6][#6][#16][#6]12[#6][#8][#6]2	[#6]2([#6]1([#6][#6]([#6][#6][#16]1)#[#8])[#6][#8]2)
[#6]1[#6][#6][#6][#16][#6]12[#6][#8][#6]2	[#6]1[#6][#6:2][#6][#16][#6]12[#6][#8][#6]2	[#6]2([#6]1([#6][#6][#6]([#6][#16]1)#[#8])[#6][#8]2)
[#6]1[#6][#6][#6][#16][#6]12[#6][#8][#6]2	[#6]1[#6][#6][#6:2][#16][#6]12[#6][#8][#6]2	[#6]2([#6]1([#6][#6][#6][#6]([#16]1)#[#8])[#6][#8]2)
[#6]1[#6][#6][#6][#16][#6]12[#6][#8][#6]2	[#6]1[#6][#6][#6][#16:2][#6]12[#6][#8][#6]2	[#6]2([#6]1([#6][#6][#6][#6][#16]1#[#8])[#6][#8]2)
